fps,low1pct,cpu_ms,gpu_ms,Gameplay Update,Physics,Render Collect,Shadow Pass,Scene Pass (FBX),Sprite Pass,Effect Update,Effect Draw,Debug/ImGui,gpu_shadow,gpu_scene,gpu_effect,gpu_sprite,effect_calls,effect_verts,effect_instances
60.0,57.7,16.67,4.28,0.12,0.23,0.01,0.70,1.65,0.14,2.04,1.83,0.30,0.758,2.964,0.080,0.004,47,22116,6923
60.0,57.7,16.67,3.86,0.09,0.25,0.01,0.64,1.56,0.16,2.39,2.18,0.27,0.812,2.996,0.090,0.016,66,53020,14402
60.0,57.7,16.66,3.58,0.06,0.22,0.01,0.55,1.25,0.13,2.56,3.04,0.28,0.769,3.068,0.176,0.009,66,87620,18097
60.0,57.7,16.67,4.63,0.06,0.20,0.01,0.53,1.22,0.13,2.19,2.62,0.26,3.310,2.841,0.156,0.009,41,30072,7018
60.0,57.7,16.67,5.42,0.23,0.28,0.01,0.80,1.84,0.16,1.60,1.25,0.31,0.833,1.810,0.067,0.003,30,10584,1231
60.0,58.0,16.67,3.68,0.09,0.33,0.01,0.90,2.00,0.21,1.57,1.26,0.39,0.645,2.738,0.089,0.016,44,16008,3648
60.0,58.0,16.67,3.64,0.09,0.30,0.02,0.73,1.80,0.19,1.78,1.70,0.30,0.753,2.959,0.106,0.008,46,21956,5974
60.0,58.0,16.67,3.87,0.08,0.27,0.01,0.65,1.56,0.18,1.65,1.62,0.29,0.743,2.963,0.090,0.008,40,15360,4952
60.0,58.0,16.66,3.92,0.15,0.28,0.01,0.77,1.78,0.18,2.06,1.88,0.28,0.723,2.901,0.079,0.004,42,45120,9372
60.0,58.0,16.67,3.87,0.12,0.25,0.01,0.64,1.51,0.12,2.12,2.08,0.29,0.797,2.976,0.083,0.004,48,56164,10380
60.0,58.0,16.67,3.90,0.08,0.28,0.01,0.68,1.49,0.11,1.79,1.73,0.30,0.806,2.932,0.088,0.012,36,15684,3165
60.0,58.0,16.67,5.54,0.15,0.30,0.01,0.78,1.74,0.12,1.75,1.44,0.29,3.530,2.713,0.219,0.008,51,29692,8028
60.0,58.0,16.66,4.57,0.07,0.27,0.01,0.56,1.31,0.11,2.14,2.20,0.28,2.231,1.978,0.074,0.004,64,47400,14266
60.0,58.1,16.67,3.89,0.10,0.21,0.01,0.52,1.13,0.13,2.19,2.59,0.26,0.790,3.044,0.068,0.003,55,38784,11603
60.0,58.1,16.67,4.04,0.13,0.25,0.01,0.60,1.34,0.13,1.82,1.89,0.32,0.785,3.033,0.071,0.005,41,22300,5595
60.0,58.4,16.67,4.01,0.08,0.26,0.01,0.72,1.64,0.16,1.99,1.88,0.29,0.768,2.984,0.051,0.004,36,52268,8197
60.0,58.4,16.66,4.04,0.08,0.29,0.02,0.72,1.66,0.15,1.90,1.77,0.29,0.799,3.004,0.020,0.002,20,27580,5370
60.0,58.0,16.66,3.70,0.15,0.29,0.01,0.87,1.84,0.18,1.53,0.91,0.40,0.670,2.811,0.019,0.005,13,5844,1086
60.0,58.0,16.67,3.84,0.19,0.36,0.02,1.12,2.19,0.23,1.51,1.19,0.41,0.741,2.940,0.072,0.003,33,16156,4523
60.0,58.0,16.67,6.01,0.08,0.27,0.01,0.74,1.68,0.18,1.79,1.46,0.28,0.780,3.018,0.066,0.003,42,19104,5799
60.0,58.0,16.67,4.07,0.09,0.29,0.01,0.76,1.85,0.18,2.22,1.94,0.30,0.802,3.030,0.073,0.003,43,22172,6999
60.0,58.0,16.67,3.92,0.16,0.25,0.01,0.60,1.30,0.13,1.88,1.85,0.26,0.745,2.963,0.057,0.004,64,49368,13780
60.0,58.0,16.67,3.36,0.06,0.20,0.01,0.47,1.05,0.11,2.38,2.98,0.27,0.790,1.638,0.202,0.003,70,89660,18080
60.0,58.0,16.67,3.70,0.06,0.19,0.01,0.47,1.05,0.11,2.29,2.99,0.28,0.779,1.673,0.073,0.004,52,38296,9315
60.0,58.0,16.67,4.12,0.13,0.27,0.01,0.68,1.61,0.13,1.55,1.43,0.30,2.122,1.932,0.070,0.010,28,13608,2329
60.0,57.8,16.67,4.14,0.18,0.28,0.01,0.78,1.66,0.14,1.32,1.02,0.31,0.756,2.970,0.079,0.004,35,14792,3506
60.0,57.8,16.67,4.78,0.08,0.27,0.01,0.77,1.79,0.15,1.55,1.55,0.32,3.234,2.625,0.200,0.038,43,20536,5638
60.0,57.8,16.67,5.18,0.09,0.26,0.02,0.69,1.65,0.14,1.66,1.67,0.30,0.823,2.986,0.092,0.008,43,16500,4658
60.0,57.8,16.66,4.20,0.09,0.29,0.01,0.69,1.62,0.15,1.89,1.76,0.33,2.184,1.837,0.082,0.010,44,49432,9588
60.0,57.8,16.66,3.98,0.11,0.22,0.01,0.57,1.26,0.14,1.88,1.91,0.32,0.640,2.827,0.073,0.008,40,51132,9140
60.0,57.8,16.67,3.85,0.08,0.25,0.01,0.73,1.57,0.18,1.91,1.79,0.32,0.730,2.969,0.084,0.011,34,14500,3395
60.0,57.8,16.66,3.92,0.10,0.30,0.01,0.87,1.82,0.21,1.75,1.40,0.37,0.727,2.899,0.111,0.004,45,24264,6857
60.0,57.8,16.67,3.96,0.07,0.24,0.01,0.63,1.39,0.17,2.29,2.19,0.26,0.742,2.932,0.079,0.005,56,40596,11615
60.0,57.8,16.66,3.77,0.09,0.19,0.01,0.49,1.07,0.12,2.37,2.70,0.27,0.728,1.575,0.062,0.005,61,44220,13425
60.0,57.8,16.67,5.21,0.11,0.22,0.01,0.50,1.08,0.11,1.94,1.93,0.24,2.969,2.538,0.141,0.009,44,30448,8160
60.0,57.8,16.67,4.29,0.08,0.27,0.01,0.61,1.46,0.13,2.09,1.92,0.28,0.838,3.235,0.085,0.004,34,52748,8137
60.0,58.3,16.67,4.28,0.09,0.29,0.01,0.74,1.71,0.14,2.03,1.77,0.30,0.827,3.223,0.033,0.006,21,26664,5126
60.0,58.3,16.67,4.24,0.18,0.32,0.02,1.02,2.22,0.15,1.72,0.80,0.41,0.850,3.202,0.001,0.002,6,1392,605
60.0,58.2,16.67,4.06,0.18,0.38,0.02,1.21,2.44,0.17,1.50,1.00,0.45,0.767,3.067,0.042,0.004,33,12848,3658
60.0,57.7,16.67,4.12,0.10,0.31,0.02,0.82,2.00,0.16,1.98,1.64,0.36,0.769,3.063,0.063,0.005,41,18548,5939
60.0,57.7,16.67,4.05,0.08,0.28,0.01,0.70,1.62,0.14,2.08,1.74,0.29,0.806,3.111,0.069,0.004,43,22508,7415
60.0,57.7,16.67,4.16,0.17,0.30,0.01,0.78,1.89,0.16,2.33,1.88,0.31,2.243,2.046,0.065,0.006,50,32768,9897
60.0,57.7,16.67,5.61,0.12,0.23,0.01,0.53,1.17,0.12,2.42,2.41,0.26,2.634,2.013,0.133,0.014,65,84524,16287
60.0,57.7,16.66,3.91,0.06,0.19,0.01,0.49,1.11,0.11,2.41,2.83,0.27,0.845,3.232,0.078,0.013,63,54852,13287
60.0,57.7,16.67,4.18,0.12,0.25,0.01,0.65,1.49,0.14,1.96,1.81,0.27,2.143,1.973,0.080,0.004,42,22820,4997
60.0,57.7,16.67,4.30,0.09,0.30,0.02,0.82,1.93,0.15,1.82,1.54,0.32,2.101,1.969,0.078,0.007,32,14964,3578
60.0,58.2,16.66,4.03,0.16,0.34,0.02,0.84,2.01,0.21,2.03,1.63,0.36,0.706,2.894,0.090,0.004,44,20520,5638
60.0,58.2,16.67,3.95,0.12,0.29,0.01,0.72,1.76,0.21,1.86,1.72,0.30,0.807,3.095,0.104,0.009,46,17624,4365
60.0,58.3,16.67,4.18,0.09,0.29,0.01,0.78,1.91,0.20,2.16,1.92,0.29,0.791,3.137,0.105,0.009,51,43836,9102
60.0,58.3,16.67,4.48,0.08,0.24,0.01,0.65,1.51,0.17,2.20,1.97,0.26,3.177,2.672,0.209,0.013,33,50128,9082
60.0,58.3,16.66,6.10,0.15,0.29,0.01,0.67,1.58,0.11,1.97,1.51,0.28,2.905,2.537,0.171,0.015,36,14636,3519
60.0,58.2,16.67,4.94,0.17,0.31,0.01,0.81,1.97,0.13,1.72,1.27,0.32,0.718,2.860,0.108,0.001,44,17932,3814
60.0,58.2,16.67,3.81,0.08,0.26,0.01,0.66,1.62,0.12,2.46,1.99,0.26,0.737,2.883,0.115,0.004,64,38676,11258
60.0,58.2,16.67,3.55,0.06,0.21,0.01,0.52,1.16,0.10,2.22,2.47,0.27,0.822,1.780,0.091,0.003,67,53348,16179
60.0,58.2,16.67,3.83,0.18,0.21,0.01,0.58,1.38,0.14,2.34,2.37,0.25,0.788,2.915,0.059,0.004,42,33640,9697
60.0,58.2,16.66,3.77,0.07,0.25,0.01,0.62,1.54,0.15,2.31,2.08,0.25,0.751,2.996,0.067,0.004,37,56060,9297
60.0,58.2,16.67,3.81,0.08,0.24,0.01,0.70,1.55,0.15,1.94,1.83,0.27,0.762,2.988,0.062,0.004,26,38600,6899
60.0,57.9,16.67,3.93,0.10,0.31,0.02,1.06,2.37,0.18,1.80,1.17,0.38,0.804,2.940,0.033,0.005,4,184,133
60.0,57.9,16.67,4.90,0.27,0.39,0.02,1.16,2.36,0.18,1.15,0.51,0.46,3.005,2.288,0.004,0.006,14,5064,2247
60.0,57.9,16.67,4.36,0.09,0.31,0.01,0.80,1.95,0.17,1.78,1.30,0.33,0.821,3.149,0.033,0.015,34,14896,5292
60.0,57.9,16.67,4.13,0.10,0.29,0.01,0.75,1.86,0.16,2.18,1.68,0.34,0.808,3.139,0.059,0.008,41,20344,6569
60.0,57.9,16.67,4.25,0.10,0.32,0.01,0.77,1.93,0.17,2.15,1.75,0.33,0.829,3.212,0.068,0.005,45,25432,7841
60.0,57.9,16.67,4.19,0.11,0.24,0.01,0.60,1.43,0.13,2.46,2.16,0.25,0.811,1.774,0.138,0.009,54,73804,15087
60.0,57.9,16.67,3.92,0.07,0.22,0.01,0.55,1.20,0.12,2.51,2.55,0.25,0.850,1.802,0.081,0.007,50,54916,14210
60.0,57.9,16.67,3.76,0.12,0.27,0.01,0.55,1.22,0.12,2.07,1.98,0.26,0.828,3.060,0.046,0.009,42,29020,7130
60.0,57.9,16.67,4.20,0.09,0.28,0.01,0.76,1.81,0.14,1.97,1.66,0.29,2.279,2.025,0.036,0.004,34,19100,5368
60.0,58.1,16.67,6.23,0.14,0.26,0.01,0.81,1.95,0.13,1.70,1.30,0.30,0.868,3.208,0.003,0.001,25,15944,5459
60.0,58.1,16.66,3.95,0.12,0.33,0.02,0.91,2.24,0.17,2.12,1.60,0.37,0.781,3.034,0.042,0.004,34,12492,3938
60.0,58.1,16.67,4.07,0.09,0.30,0.01,0.81,2.04,0.17,2.30,1.63,0.31,0.783,3.050,0.065,0.005,40,40864,8792
60.0,58.1,16.67,4.14,0.08,0.27,0.01,0.68,1.59,0.14,2.21,1.94,0.26,0.806,3.088,0.067,0.003,33,53616,9277
60.0,58.1,16.67,4.09,0.16,0.28,0.01,0.79,1.92,0.14,2.10,1.56,0.31,0.859,1.872,0.073,0.007,24,10324,2440
60.0,57.8,16.67,4.01,0.17,0.27,0.02,1.01,2.25,0.19,1.83,1.23,0.35,0.786,3.065,0.090,0.004,40,14188,3176
60.0,57.8,16.67,4.11,0.10,0.30,0.01,0.92,2.11,0.19,2.30,1.89,0.30,0.796,3.033,0.106,0.005,64,34740,10279
60.0,57.8,16.67,4.38,0.07,0.26,0.01,0.64,1.51,0.16,2.56,2.35,0.25,3.155,2.929,0.211,0.006,70,50240,14619
60.0,57.8,16.66,5.04,0.10,0.21,0.01,0.51,1.14,0.13,2.25,2.42,0.25,1.004,2.442,0.147,0.013,50,37284,10809
60.0,57.8,16.67,4.64,0.13,0.25,0.01,0.54,1.27,0.12,2.34,2.18,0.25,0.719,2.906,0.111,0.014,53,64272,10868
60.0,57.6,16.66,3.82,0.07,0.23,0.01,0.61,1.46,0.14,1.93,1.94,0.27,0.749,2.989,0.109,0.008,38,39932,6460
60.0,57.6,16.67,4.21,0.18,0.33,0.02,1.10,2.36,0.17,1.48,1.30,0.37,2.113,1.877,0.098,0.004,25,6720,350
60.0,57.6,16.67,4.25,0.10,0.35,0.02,1.35,2.66,0.19,1.54,1.03,0.43,2.090,1.916,0.074,0.004,29,11496,3245
60.0,57.5,16.66,4.07,0.17,0.33,0.02,0.93,2.26,0.17,2.11,1.65,0.36,0.786,2.933,0.085,0.005,44,18180,5622
60.0,57.5,16.67,4.03,0.16,0.31,0.01,0.81,1.85,0.16,2.01,1.98,0.30,0.801,3.028,0.082,0.013,59,24472,6211
60.0,57.5,16.66,4.05,0.09,0.27,0.02,0.76,1.90,0.17,2.12,1.93,0.28,0.815,3.387,0.108,0.003,55,32276,9068
60.0,57.5,16.67,5.89,0.07,0.24,0.01,0.64,1.46,0.14,2.41,2.27,0.27,3.496,2.755,0.188,0.006,55,72248,14284
60.0,57.5,16.67,3.76,0.10,0.20,0.01,0.55,1.24,0.12,2.42,2.33,0.25,0.775,1.736,0.060,0.006,50,42680,11010
60.0,57.5,16.67,3.84,0.11,0.22,0.01,0.65,1.42,0.15,2.24,2.16,0.25,0.743,3.021,0.061,0.002,44,35380,8567
60.0,57.5,16.67,3.72,0.09,0.28,0.01,0.76,1.79,0.16,2.07,1.85,0.28,0.801,2.992,0.043,0.003,43,25960,7449
60.0,58.2,16.67,3.89,0.10,0.30,0.01,0.82,1.97,0.17,2.00,1.53,0.31,0.793,2.942,0.028,0.004,25,16340,5503
60.0,58.2,16.67,3.78,0.21,0.29,0.01,0.81,2.05,0.17,2.03,1.60,0.34,0.674,2.809,0.019,0.004,33,14024,3803
60.0,58.3,16.67,3.73,0.09,0.30,0.01,0.80,2.01,0.19,2.30,1.74,0.31,0.681,2.818,0.062,0.004,46,37536,8272
60.0,58.4,16.67,4.06,0.08,0.29,0.01,0.67,1.59,0.15,2.15,1.90,0.26,0.783,3.041,0.066,0.005,33,54788,9193
60.0,58.4,16.66,5.68,0.16,0.29,0.01,0.76,1.70,0.16,1.94,1.50,0.28,0.786,3.110,0.065,0.005,29,12488,2483
60.0,58.0,16.67,4.04,0.16,0.31,0.02,0.97,2.23,0.16,1.57,1.17,0.33,0.767,3.032,0.071,0.007,37,15252,3573
60.0,57.7,16.67,3.97,0.10,0.30,0.01,0.83,2.12,0.14,2.14,1.77,0.33,0.748,3.004,0.102,0.009,51,27060,7811
60.0,57.7,16.67,3.92,0.08,0.28,0.01,0.59,1.40,0.12,2.36,2.20,0.25,0.780,3.032,0.100,0.009,66,46880,13502
60.0,57.7,16.67,3.73,0.12,0.24,0.01,0.52,1.20,0.12,2.43,2.41,0.25,0.893,1.889,0.075,0.009,56,47060,13515
60.0,57.7,16.67,4.27,0.10,0.22,0.01,0.57,1.32,0.12,2.48,2.39,0.26,0.828,3.138,0.111,0.013,41,69520,12217
60.0,57.7,16.67,3.98,0.08,0.26,0.01,0.69,1.51,0.14,2.13,1.94,0.26,0.867,3.116,0.060,0.005,26,32996,5474
60.0,57.3,16.67,4.91,0.17,0.33,0.02,1.04,2.15,0.17,1.29,0.90,0.36,3.425,2.632,0.128,0.006,21,4436,309
60.0,57.3,16.67,5.18,0.12,0.42,0.02,1.15,2.47,0.17,1.53,0.89,0.41,2.131,1.855,0.034,0.002,22,9812,3611
60.0,57.3,16.67,4.05,0.16,0.31,0.01,0.83,2.06,0.16,2.02,1.29,0.33,0.684,2.914,0.004,0.002,26,15148,6294
60.0,57.3,16.66,3.89,0.10,0.29,0.01,0.75,2.01,0.20,2.24,1.74,0.31,0.782,3.090,0.047,0.004,40,17576,5757
60.0,57.3,16.67,4.08,0.10,0.31,0.01,0.84,2.08,0.19,2.46,1.77,0.32,0.778,3.078,0.056,0.006,46,36572,9888
60.0,57.3,16.67,4.06,0.09,0.26,0.01,0.64,1.44,0.16,2.30,1.92,0.26,0.822,3.101,0.081,0.006,40,61376,11440
60.0,57.3,16.67,3.88,0.14,0.23,0.02,0.61,1.33,0.13,2.39,2.15,0.25,0.768,3.006,0.070,0.005,44,36952,9676
60.0,57.3,16.67,3.98,0.13,0.28,0.01,0.61,1.47,0.13,2.32,2.00,0.24,0.759,3.011,0.091,0.005,60,44788,11076
60.0,57.7,16.67,5.08,0.07,0.24,0.01,0.55,1.24,0.13,2.00,2.04,0.24,3.334,2.692,0.212,0.009,59,32256,8548
60.0,58.1,16.67,4.20,0.09,0.29,0.01,0.74,1.67,0.14,1.99,1.87,0.28,2.198,2.111,0.100,0.003,44,21944,6216
60.0,58.1,16.67,4.59,0.21,0.31,0.01,0.92,2.07,0.14,1.73,1.55,0.31,2.276,2.083,0.072,0.004,30,13268,3405
60.0,58.1,16.67,4.43,0.09,0.29,0.01,0.75,1.80,0.12,2.14,1.74,0.29,0.882,2.045,0.118,0.003,42,55864,8534
60.0,58.1,16.67,4.48,0.08,0.24,0.01,0.74,1.59,0.12,2.07,1.99,0.27,2.194,2.032,0.104,0.003,41,45112,7977
60.0,58.0,16.67,4.37,0.16,0.29,0.01,0.98,2.16,0.15,1.82,1.48,0.34,2.150,1.990,0.084,0.009,31,9884,2017
60.0,58.0,16.66,4.46,0.14,0.31,0.01,1.03,2.17,0.14,1.64,1.15,0.35,2.235,2.001,0.075,0.007,35,17548,5262
60.0,58.0,16.67,4.59,0.09,0.30,0.01,0.79,1.95,0.16,2.00,1.62,0.31,3.453,3.064,0.191,0.042,47,20748,6060
60.0,58.0,16.66,5.71,0.08,0.27,0.01,0.66,1.44,0.15,2.40,2.08,0.25,0.887,3.170,0.106,0.008,68,41188,11905
60.0,58.0,16.67,4.16,0.08,0.26,0.01,0.57,1.28,0.13,2.40,2.32,0.26,0.874,1.946,0.090,0.013,67,54232,16526
60.0,58.0,16.67,3.88,0.07,0.24,0.01,0.55,1.22,0.12,2.51,2.77,0.27,0.869,1.964,0.154,0.011,45,73104,13481
60.0,58.0,16.66,3.68,0.10,0.23,0.01,0.57,1.33,0.14,2.04,1.95,0.29,0.772,1.698,0.063,0.008,31,23044,4267
60.0,58.0,16.67,3.89,0.18,0.36,0.02,1.08,2.17,0.20,1.31,0.81,0.38,0.720,2.895,0.058,0.006,19,5864,355
60.0,58.0,16.67,3.94,0.11,0.35,0.02,1.17,2.39,0.22,1.73,1.04,0.39,0.829,3.121,0.049,0.006,32,10264,3807
60.0,58.0,16.67,4.15,0.10,0.31,0.02,0.97,2.19,0.17,1.80,1.27,0.32,0.829,3.132,0.002,0.003,24,15044,6179
60.0,58.0,16.67,4.59,0.24,0.26,0.01,0.78,1.97,0.17,2.06,1.64,0.30,3.071,2.636,0.040,0.010,46,16288,5461
60.0,58.0,16.67,5.69,0.09,0.28,0.01,0.77,1.73,0.17,2.04,1.71,0.29,2.981,2.547,0.119,0.009,51,40608,9090
60.0,58.0,16.66,4.18,0.08,0.26,0.01,0.64,1.46,0.15,2.36,1.99,0.25,0.753,3.006,0.063,0.005,36,59272,10613
60.0,58.0,16.66,3.87,0.13,0.26,0.01,0.64,1.52,0.15,2.27,1.81,0.26,0.802,1.703,0.041,0.003,45,27932,7609
60.0,58.0,16.67,4.22,0.14,0.29,0.01,0.75,1.82,0.16,2.33,1.93,0.27,0.766,3.076,0.051,0.006,54,39660,10158
60.0,58.3,16.67,3.75,0.07,0.23,0.01,0.56,1.24,0.14,2.35,2.37,0.25,0.751,3.023,0.085,0.014,58,39984,10579
60.0,58.3,16.67,3.91,0.07,0.23,0.01,0.65,1.47,0.15,2.30,2.11,0.24,0.798,2.976,0.104,0.013,54,28004,7739
60.0,58.3,16.67,4.06,0.15,0.27,0.01,0.83,2.03,0.18,1.82,1.65,0.34,0.785,3.000,0.076,0.004,35,15244,3466
60.0,58.3,16.67,3.99,0.16,0.29,0.01,0.72,1.78,0.15,2.33,1.88,0.27,0.686,2.868,0.088,0.008,39,55172,8076
60.0,58.4,16.67,5.28,0.08,0.26,0.01,0.66,1.44,0.16,2.07,1.93,0.27,3.129,2.876,0.153,0.023,41,39288,7178
60.0,58.3,16.66,5.54,0.15,0.30,0.02,0.97,2.14,0.17,1.59,1.39,0.32,0.779,2.959,0.097,0.006,30,10372,2114
60.0,58.1,16.67,4.03,0.10,0.32,0.02,1.11,2.37,0.17,1.77,1.25,0.37,0.792,2.980,0.072,0.007,30,16532,4632
60.0,58.1,16.67,4.01,0.15,0.29,0.01,0.86,2.16,0.15,2.28,1.66,0.31,0.736,2.938,0.072,0.005,44,22768,7299
60.0,58.1,16.67,3.74,0.13,0.27,0.01,0.65,1.53,0.14,2.14,1.99,0.27,0.767,2.980,0.089,0.012,72,37092,10347
60.0,58.1,16.66,3.56,0.07,0.24,0.01,0.57,1.34,0.13,2.39,2.34,0.25,0.764,1.646,0.102,0.004,79,59940,15745
60.0,58.1,16.67,3.46,0.06,0.21,0.01,0.53,1.23,0.11,2.55,3.07,0.27,0.830,3.149,0.189,0.014,54,78804,15402
60.0,58.1,16.66,3.90,0.13,0.23,0.01,0.65,1.47,0.12,2.24,2.12,0.26,0.794,3.064,0.068,0.007,39,20896,4044
60.0,58.0,16.67,5.17,0.10,0.34,0.02,1.24,2.40,0.16,1.49,1.16,0.36,3.015,2.875,0.198,0.017,27,9876,507
60.0,58.0,16.67,5.03,0.10,0.30,0.02,0.97,2.23,0.13,1.57,1.28,0.35,0.825,3.034,0.096,0.004,37,14092,3735
60.0,58.0,16.67,4.13,0.10,0.27,0.02,1.02,2.29,0.16,2.16,1.72,0.34,0.841,3.075,0.083,0.003,44,20700,6697
60.0,58.0,16.66,4.11,0.21,0.27,0.02,0.84,2.12,0.15,2.06,1.74,0.33,0.690,2.814,0.075,0.004,36,15388,4982
60.0,58.0,16.67,3.77,0.09,0.30,0.01,0.68,1.67,0.16,2.04,1.70,0.30,0.815,2.992,0.113,0.005,51,50668,9964
60.0,58.0,16.67,4.05,0.08,0.24,0.01,0.73,1.55,0.16,2.08,2.07,0.25,0.804,3.059,0.108,0.008,46,55156,10341
60.0,58.0,16.67,3.94,0.14,0.25,0.01,0.85,2.02,0.19,2.11,1.65,0.31,0.815,3.020,0.091,0.004,31,13468,3566
60.0,58.0,16.67,4.01,0.13,0.26,0.01,0.78,1.90,0.16,2.29,1.66,0.28,0.859,1.723,0.058,0.005,44,36328,9883
60.0,58.3,16.67,5.40,0.07,0.24,0.01,0.55,1.19,0.13,2.30,2.40,0.27,3.058,2.072,0.081,0.015,67,49476,13666
60.0,58.3,16.67,3.79,0.11,0.22,0.01,0.54,1.19,0.14,2.20,2.28,0.25,0.761,1.692,0.105,0.004,64,36180,9579
60.0,58.5,16.67,4.21,0.09,0.29,0.01,0.84,1.96,0.16,1.94,1.85,0.29,2.172,2.004,0.093,0.004,37,20128,5344
60.0,58.5,16.67,4.38,0.14,0.26,0.01,0.78,1.89,0.14,2.17,1.87,0.27,0.854,3.168,0.082,0.012,34,53308,7955
60.0,58.5,16.66,4.10,0.15,0.29,0.02,0.78,1.88,0.16,2.12,1.87,0.26,0.791,3.034,0.061,0.008,49,22900,3983
60.0,58.0,16.67,4.07,0.10,0.31,0.02,1.08,2.31,0.19,1.38,1.29,0.35,0.820,2.982,0.104,0.005,36,12060,1927
60.0,58.0,16.67,3.97,0.08,0.28,0.02,0.87,1.78,0.16,1.63,1.36,0.35,0.841,3.062,0.079,0.007,43,17112,5466
60.0,58.0,16.67,4.37,0.14,0.28,0.01,0.76,1.66,0.14,1.93,1.55,0.31,3.519,2.565,0.166,0.007,46,25640,8814
60.0,58.0,16.67,5.38,0.08,0.25,0.02,0.68,1.43,0.15,1.85,1.78,0.26,0.783,3.054,0.095,0.005,54,24640,7128
60.0,58.0,16.67,4.03,0.07,0.25,0.01,0.57,1.22,0.13,2.25,2.48,0.26,0.809,3.089,0.136,0.007,70,76828,16496
60.0,58.0,16.67,3.96,0.06,0.21,0.01,0.54,1.12,0.12,2.42,3.14,0.27,0.821,3.124,0.189,0.008,64,82724,17485
60.0,58.0,16.67,3.73,0.15,0.22,0.01,0.58,1.23,0.13,1.98,2.08,0.31,0.846,3.073,0.060,0.004,36,23100,4869
60.0,58.0,16.67,3.82,0.08,0.25,0.01,0.78,1.58,0.19,1.56,1.42,0.29,0.693,2.791,0.085,0.006,40,12316,1437
60.0,58.2,16.67,3.81,0.09,0.30,0.01,0.85,1.82,0.20,1.72,1.51,0.34,0.713,2.796,0.112,0.003,40,17464,3872
60.0,58.2,16.67,4.11,0.14,0.29,0.01,0.80,1.66,0.20,1.70,1.58,0.31,0.845,3.025,0.111,0.004,54,22424,6187
60.0,58.2,16.67,5.13,0.09,0.30,0.01,0.80,1.70,0.19,1.71,1.63,0.32,3.045,2.683,0.170,0.004,37,16180,4792
60.0,57.8,16.67,4.76,0.14,0.27,0.01,0.75,1.57,0.13,2.18,2.00,0.27,0.755,3.041,0.103,0.007,48,60660,9960
60.0,57.8,16.66,4.00,0.08,0.31,0.01,0.70,1.37,0.12,2.15,2.13,0.26,0.796,3.000,0.105,0.013,45,45300,9178
60.0,57.8,16.66,4.07,0.16,0.35,0.02,0.93,1.99,0.15,2.01,1.77,0.36,0.786,2.956,0.091,0.005,37,14404,3209
60.0,57.8,16.67,3.99,0.08,0.25,0.01,0.81,1.68,0.14,2.15,1.83,0.32,0.830,3.013,0.082,0.006,47,36852,10815
60.0,57.8,16.66,4.03,0.14,0.24,0.01,0.65,1.30,0.14,2.37,2.26,0.25,0.810,1.731,0.070,0.011,65,50248,14294
60.0,57.8,16.67,3.84,0.09,0.20,0.01,0.52,1.09,0.14,2.22,2.59,0.26,0.800,3.053,0.077,0.014,62,35764,9444
60.0,57.8,16.66,3.98,0.08,0.25,0.01,0.62,1.29,0.15,1.91,1.78,0.32,0.816,1.777,0.086,0.012,47,27104,6756
60.0,57.8,16.67,5.60,0.08,0.25,0.01,0.60,1.27,0.15,1.82,1.62,0.27,3.100,2.644,0.234,0.015,30,53900,7968
60.0,57.8,16.67,4.01,0.13,0.29,0.01,0.69,1.40,0.15,1.94,1.73,0.31,0.700,2.825,0.072,0.005,35,18016,3595
60.0,57.8,16.67,3.85,0.10,0.32,0.01,0.96,1.77,0.18,1.59,1.02,0.36,0.794,3.040,0.105,0.003,30,9556,1573
60.0,58.2,16.67,4.11,0.09,0.30,0.01,0.91,1.85,0.16,1.73,1.28,0.35,0.778,3.034,0.101,0.004,42,17184,5410
60.0,58.3,16.67,4.10,0.09,0.29,0.02,0.87,1.85,0.18,2.05,1.70,0.30,0.791,3.071,0.079,0.003,39,24432,8568
60.0,58.3,16.67,3.98,0.18,0.28,0.01,0.75,1.63,0.14,2.04,1.96,0.29,0.770,2.981,0.082,0.003,47,20864,6140
60.0,58.3,16.67,3.89,0.08,0.25,0.01,0.64,1.30,0.12,2.37,2.31,0.25,0.817,1.717,0.123,0.007,74,69820,15453
60.0,58.1,16.67,3.86,0.06,0.19,0.01,0.49,1.05,0.10,2.38,2.97,0.27,0.809,1.717,0.200,0.011,66,81816,17765
60.0,58.1,16.67,5.47,0.10,0.22,0.01,0.56,1.22,0.11,2.31,2.32,0.30,0.848,2.018,0.071,0.004,30,24988,6122
60.0,58.1,16.67,4.27,0.15,0.29,0.01,0.80,1.74,0.12,1.81,1.31,0.30,0.778,3.069,0.070,0.005,29,14008,2765
60.0,58.1,16.67,3.60,0.06,0.19,0.01,0.50,1.19,0.11,1.16,0.95,0.24,0.772,1.724,0.093,0.010,39,16288,3773
60.0,58.1,16.67,3.59,0.12,0.22,0.01,0.63,1.33,0.14,1.39,1.50,0.26,0.823,1.708,0.098,0.008,57,20384,5323
60.0,58.1,16.67,4.07,0.08,0.26,0.02,0.72,1.69,0.14,1.72,1.54,0.35,0.790,2.993,0.086,0.006,42,19116,5697
60.0,58.1,16.67,3.84,0.10,0.20,0.01,0.67,1.40,0.13,2.00,1.87,0.28,0.723,1.601,0.081,0.010,34,56928,9644
